account,classification,trades,total_pnl,avg_pnl,win_rate,avg_trade_size
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,124769.221441,1247.69221441,0.37,15071.008600000001
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,-40282.335904,-42.62681048042328,0.06666666666666667,12080.27055026455
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,1113373.547515,626.1943461839145,0.5264341957255343,17020.494876265468
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,276719.270187,482.08932088327526,0.1602787456445993,15134.130383275262
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,125650.11674,298.4563342992874,0.5819477434679335,23336.999311163898
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,-4235.153050999999,-24.91266500588235,0.3,2156.074411764706
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,35658.894935000004,43.22290295151516,0.576969696969697,1846.6767272727272
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,-1658.7368009999998,-0.6326227311212814,0.4782608695652174,981.595171624714
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,30053.395556,10.211823158681618,0.4016309887869521,2204.2242779476724
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,-11933.080125,-16.573722395833332,0.3611111111111111,1506.4890555555558
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,16706.884912,20.96221444416562,0.37641154328732745,6131.710464240904
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,1793.1602149999999,358.63204299999995,0.8,31941.660000000003
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,30121.91049,16.125219748394002,0.3822269807280514,7222.6180513918625
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,-100019.806374,-185.22186365555558,0.24444444444444444,19419.792833333337
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,-19038.340561,-31.78354016861436,0.0,8093.856811352254
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,-25666.012284,-44.71430711498258,0.2874564459930314,806.9836411149826
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,108009.960644,14.437904109611015,0.4444592968854431,438.0787434834915
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,13422.524859,9.59437087848463,0.4303073624017155,656.0465117941386
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,31192.591971,10.50255621919192,0.4484848484848485,501.44102693602696
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,5505.749364,6.207158245772266,0.46674182638105977,687.0997632468997
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,11415.247787,101.92185524107143,0.6875,2477.321696428571
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,90895.05041,61.49868092692828,0.4878213802435724,3409.7221921515566
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,3979.190772,10.444070267716535,0.4330708661417323,1534.1833595800524
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,20075.672949,79.35048596442688,0.541501976284585,4041.240158102767
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,42292.843076,41.66782569064039,0.5753694581280788,3194.968620689655
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,-56967.825773000004,-216.6077025589354,0.11026615969581749,1620.1930798479086
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,30992.181771,192.49802342236023,0.45962732919254656,2791.594658385093
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,-467.058896,-1.8244488125,0.6796875,1320.9939453125
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,-3531.989984,-34.62735278431372,0.7254901960784313,1532.4567647058823
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,-1228.907104,-37.23960921212121,0.6060606060606061,1207.8618181818183
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,-76179.494853,-45.67115998381295,0.302158273381295,4041.219688249401
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,14406.384865,125.27291186956522,0.4956521739130435,4752.3967826086955
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,54685.021109,37.175405240652616,0.3222297756628144,4219.732807613868
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,10591.760255,168.12317865079365,0.4444444444444444,11643.763492063492
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,10953.24796,40.26929397058824,0.41544117647058826,10901.87974264706
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,110.553364,5.818598105263158,1.0,3388.287368421053
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,36870.155091,178.9813353932039,0.36893203883495146,2690.061310679612
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,4256.559309,53.88049758227849,0.620253164556962,4272.7372151898735
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,4239.816383,163.0698608846154,0.5,4772.490384615385
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,8019.163096,4009.581548,0.5,31867.690000000002
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,9461.082288,155.09970963934427,0.04918032786885246,2446.7424590163937
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,4019.61859,37.21869064814815,0.23148148148148148,3220.5196296296294
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,99648.278349,1016.8191668265306,0.35714285714285715,6300.139081632653
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,12082.95,177.69044117647059,0.029411764705882353,9856.075588235295
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,74293.663505,1547.7846563541668,0.5208333333333334,4225.696458333333
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,0.0,0.0,0.0,5570.2651898734175
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124284.948775,8285.663251666667,1.0,8285.689333333334
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,5615.052102,23.692202962025316,0.10126582278481013,2535.9212236286917
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,227680.491734,294.922916753886,0.6373056994818653,1521.842163212435
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,58961.37973,440.0102964925373,0.5074626865671642,4670.876492537313
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,-14527.442518,-37.15458444501279,0.26342710997442453,573.057442455243
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,67275.949439,21.35744426634921,0.34285714285714286,542.1092603174603
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,9999.484228,10.821952627705627,0.37662337662337664,539.9225108225108
