classification,total_trades,unique_traders,avg_pnl,median_pnl,win_rate,avg_trade_size_usd
Extreme Fear,21400,32,34.53786207897196,0.0,0.370607476635514,5349.7318429906545
Extreme Greed,39992,30,67.89286133909282,0.0,0.46494298859771954,3112.2515645629123
Fear,61837,32,54.2903996254993,0.0,0.42076750165758364,7816.109930785776
Greed,50303,31,42.74355948851957,0.0,0.38482794266743536,5736.884375086974
Neutral,37686,31,34.30771839807886,0.0,0.3969909250119408,4782.732661465797
